entryURN,image
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.62,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2142,0.6713,0.1952,0.025"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.63,"urn:cite:bnf:coislin345img.Coislin345_img45@0.4264,0.6748,0.4695,0.0465"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.64,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2002,0.6907,0.2402,0.0264"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.65,"urn:cite:bnf:coislin345img.Coislin345_img45@0.4494,0.6935,0.3233,0.0326"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.66,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2002,0.7122,0.4314,0.0298"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.67,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2503,0.7184,0.6557,0.0458"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.68,"urn:cite:bnf:coislin345img.Coislin345_img45@0.2022,0.7483,0.3684,0.0284"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.69,"urn:cite:bnf:coislin345img.Coislin345_img45@0.5786,0.7587,0.1902,0.0257"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.70,"urn:cite:bnf:coislin345img.Coislin345_img45@0.1642,0.7628,0.2583,0.0409"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.71,"urn:cite:bnf:coislin345img.Coislin345_img45@0.4484,0.7725,0.1522,0.0305"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.72,"urn:cite:bnf:coislin345img.Coislin345_img45@0.6156,0.7774,0.2172,0.0298"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.73,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0781,0.1026,0.2202,0.0291"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.74,"urn:cite:bnf:coislin345img.Coislin345_img46@0.3123,0.0999,0.2332,0.0229"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.75,"urn:cite:bnf:coislin345img.Coislin345_img46@0.5516,0.0902,0.1271,0.0277"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.76,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0661,0.1262,0.2322,0.0236"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.77,"urn:cite:bnf:coislin345img.Coislin345_img46@0.3073,0.1214,0.1852,0.0187"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.78,"urn:cite:bnf:coislin345img.Coislin345_img46@0.5145,0.1151,0.1772,0.0201"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.79,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0751,0.1484,0.1592,0.0222"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.80,"urn:cite:bnf:coislin345img.Coislin345_img46@0.2362,0.1269,0.5105,0.0381"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.81,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0691,0.1595,0.4064,0.0264"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.82,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0741,0.1498,0.6647,0.0555"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.83,"urn:cite:bnf:coislin345img.Coislin345_img46@0.4585,0.1692,0.2903,0.0319"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.84,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0751,0.1976,0.2693,0.027"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.85,"urn:cite:bnf:coislin345img.Coislin345_img46@0.3504,0.1928,0.3504,0.0264"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.86,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0731,0.2171,0.3704,0.0298"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.87,"urn:cite:bnf:coislin345img.Coislin345_img46@0.4575,0.2094,0.1972,0.0298"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.88,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0751,0.2316,0.6617,0.0354"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.89,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0691,0.2545,0.1982,0.0354"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.90,"urn:cite:bnf:coislin345img.Coislin345_img46@0.2613,0.2559,0.1712,0.025"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.91,"urn:cite:bnf:coislin345img.Coislin345_img46@0.4374,0.251,0.3093,0.0333"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.92,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0701,0.267,0.4935,0.0354"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.93,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0741,0.2899,0.6707,0.0541"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.94,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0861,0.3197,0.6607,0.0756"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.95,"urn:cite:bnf:coislin345img.Coislin345_img46@0.5165,0.3592,0.2032,0.0277"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.96,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0691,0.3877,0.3033,0.0326"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.97,"urn:cite:bnf:coislin345img.Coislin345_img46@0.3914,0.3807,0.3864,0.0354"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.98,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0681,0.4085,0.2563,0.0326"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.99,"urn:cite:bnf:coislin345img.Coislin345_img46@0.3253,0.4029,0.3694,0.027"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.100,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0671,0.43,0.2753,0.0284"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.101,"urn:cite:bnf:coislin345img.Coislin345_img46@0.3443,0.4182,0.4044,0.0312"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.102,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0661,0.448,0.1762,0.0312"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.103,"urn:cite:bnf:coislin345img.Coislin345_img46@0.2492,0.4404,0.5105,0.0298"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.104,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0771,0.4619,0.5626,0.0326"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.105,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0741,0.4792,0.6547,0.0333"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.106,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0681,0.4965,0.6927,0.0555"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.107,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0621,0.5409,0.6927,0.0485"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.108,"urn:cite:bnf:coislin345img.Coislin345_img46@0.5425,0.552,0.2122,0.0326"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.109,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0691,0.5811,0.4725,0.027"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.110,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0651,0.6012,0.4454,0.027"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.111,"urn:cite:bnf:coislin345img.Coislin345_img46@0.5185,0.5922,0.2422,0.027"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.112,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0731,0.6193,0.4695,0.0277"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.113,"urn:cite:bnf:coislin345img.Coislin345_img46@0.5305,0.6123,0.2182,0.0277"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.114,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0641,0.6366,0.7147,0.0305"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.115,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0601,0.6623,0.2613,0.0257"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.116,"urn:cite:bnf:coislin345img.Coislin345_img46@0.3233,0.6526,0.4635,0.027"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.117,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0741,0.6699,0.7017,0.0319"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.118,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0691,0.6956,0.3554,0.027"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.119,"urn:cite:bnf:coislin345img.Coislin345_img46@0.4384,0.6893,0.3554,0.0277"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.120,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0741,0.7191,0.3724,0.0229"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.121,"urn:cite:bnf:coislin345img.Coislin345_img46@0.1081,0.706,0.6567,0.0562"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.122,"urn:cite:bnf:coislin345img.Coislin345_img46@0.0701,0.7448,0.7267,0.07"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.123,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2643,0.0818,0.2262,0.0409"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.124,"urn:cite:bnf:coislin345img.Coislin345_img47@0.3173,0.0881,0.6046,0.0603"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.125,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2553,0.1318,0.5175,0.0374"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.126,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2533,0.1484,0.5816,0.0402"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.127,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2513,0.1623,0.6096,0.043"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.128,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2543,0.19,0.2422,0.0305"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.129,"urn:cite:bnf:coislin345img.Coislin345_img47@0.5045,0.1963,0.4244,0.0368"
urn:cts:greekLit:tlg1168.tlg001.hmt:delta.130,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2402,0.2108,0.5075,0.034"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.1,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2242,0.2497,0.7007,0.0693"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.2,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2412,0.3051,0.6747,0.0527"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.3,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2412,0.3384,0.2703,0.0319"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.4,"urn:cite:bnf:coislin345img.Coislin345_img47@0.5085,0.3467,0.1932,0.0319"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.5,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2963,0.3537,0.6186,0.0749"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.6,"urn:cite:bnf:coislin345img.Coislin345_img47@0.5035,0.4092,0.4114,0.0291"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.7,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2272,0.4175,0.1902,0.0333"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.8,"urn:cite:bnf:coislin345img.Coislin345_img47@0.4204,0.4223,0.2773,0.0333"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.9,"urn:cite:bnf:coislin345img.Coislin345_img47@0.6837,0.4307,0.2503,0.0347"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.10,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2372,0.4397,0.3934,0.0312"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.11,"urn:cite:bnf:coislin345img.Coislin345_img47@0.3103,0.4515,0.6016,0.0409"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.12,"urn:cite:bnf:coislin345img.Coislin345_img47@0.6126,0.4716,0.2863,0.0257"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.13,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2382,0.4785,0.6747,0.0472"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.14,"urn:cite:bnf:coislin345img.Coislin345_img47@0.5526,0.5076,0.3684,0.0319"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.15,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2322,0.5166,0.4935,0.0333"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.16,"urn:cite:bnf:coislin345img.Coislin345_img47@0.7187,0.5319,0.2102,0.0479"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.17,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2292,0.5388,0.1872,0.025"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.18,"urn:cite:bnf:coislin345img.Coislin345_img47@0.4154,0.5444,0.2943,0.027"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.19,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2362,0.5548,0.3794,0.0326"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.20,"urn:cite:bnf:coislin345img.Coislin345_img47@0.6517,0.5652,0.2412,0.0291"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.21,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2382,0.5784,0.3874,0.0277"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.22,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2312,0.5943,0.5666,0.034"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.23,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2382,0.6158,0.5485,0.0277"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.24,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2402,0.6373,0.6707,0.0451"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.25,"urn:cite:bnf:coislin345img.Coislin345_img47@0.5806,0.6581,0.1692,0.0277"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.26,"urn:cite:bnf:coislin345img.Coislin345_img47@0.7828,0.665,0.1451,0.0229"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.27,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2312,0.6657,0.5546,0.034"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.28,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2352,0.6872,0.6617,0.0562"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.29,"urn:cite:bnf:coislin345img.Coislin345_img47@0.2272,0.7205,0.6937,0.1019"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.30,"urn:cite:bnf:coislin345img.Coislin345_img48@0.0661,0.1259,0.1942,0.0247"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.31,"urn:cite:bnf:coislin345img.Coislin345_img48@0.2743,0.1226,0.3333,0.0286"
urn:cts:greekLit:tlg1168.tlg001.hmt:epsilon.32,"urn:cite:bnf:coislin345img.Coislin345_img48@0.0741,0.1472,0.2262,0.024"
