Batrach,paraphrase,line
ἐδέσμασι,ὄψοις,31
ἔπεσεν,κατέπεσε,204
ἔρρηξε,ἔσχισε,254
ἐσθλά,ἀγαθάς,16
ἐσορῶντες,ὁρῶντες,297
ἑταῖρον,φίλον,85
εὐθὺς,παραχρῆμα,87
εὐκύκλου,κυκλοτεροῦς,35
εὐμήκης,βελόναι,130
εὐχερές,ῥᾴδιον καὶ εὐπετές,62
εὐχόμενος,δεόμενος,5
εὐχόμενος,εὐχόμενος,75
ἐφεζόμενος,καθήμενος,100
ἐφελκομένωι,ἀποσπωμένου,246
ἔφη,εἶπεν,65	
ἔχεν,ἐσχήκασι,8
ἔχω ἀνταποδοῦναι,ἔχω ἀποδοῦναι,186
Ζεὺς Κρονίδης,Ζεὺς ὁ υἱός τοῦ Κρόνου,201
ζητεῖς,ἐξαιτάζεις,25
ζητήσωμεν,συζητήσωμεν,151
ἦγ',ἦγε,79
ἦγεν,ἄγει,80
ἡγούμενος,ἡγεμονεύων,18
ἡδύ,ἡδέως,172
ἠϊόνας,αἰγιαλόν,13
ἦλθε,ἀφίκετο,136
ἦλθε,ἐπορεύθη,253
ἦλθες,ἐλήλυθας,13
Ἦλθον,ἀφίκοντο,294
ἤματα,ἡμέρας,18
ἡμίπνουν,ττελευταῖα πνέοντα,252
ἤμυνε,ἐπεβοήθει,243
ἦν,ἦν δυνατὸν,90
μέσον ἧπαρ,μέσον τοῦ ἥπατος,203
ἥπατα,ἥπατα,37
ἦσθα,ἐτύγχανες,95
ἧτορ,ψυχὴν,2
θάνατος,θάνατος,208
θᾶσσον,τάχιον,23
θνητοῖσιν,ἀνθρώποις,8
θοίνας,πανδαισίαν,40
θορυβοῦντας,θόρυβον καὶ ταραχὴν ποιοῦντες,190
θώρηκας,θώρακας,127
θώρηκας,θώρακας,162
ἰδὼν,θεασάμενος,84
ἰδών,θεασάμενος,224
ἰδών,θεασάμενος,232
ἰδών,θεασάμενος,237
ἱκέσθαι,ἀφικέσθαι,75
καθοπλίζεσθαι,ἅπαντας ἐνόπλους γενέσθαι,122
