Homeric,Paraphrase,Example
ἐρύσαντό,εἵλκϋσαν,24.624
ἐρύσας,ἑλκΰσαν,24.16
ἐρύσσαι,καθελκΰσαι,8.23
ἐρυσσάμενος,σπασάμενος,1.190 
ἐρύσσομεν,ἑλκύσωμεν,1.141
ἐρωὴ,ὁρμὴ,15.358
ἐρωήσει,ῥεύσει,1.303 
ἑταιρίσσαι,ἀνδρὶ φίλον γενεσθαι,24.335
εὐνὰς,ἀγχύρας,1.436
εὐνὰς,κοίτας,24.615
εὐνή,συνουσία,15.32
εὐνῆς,κοίτης,24.130
εὐνῆφι,ἐκ τῆς κοίτης,15.580
εὐχωλαί,καυχήσεις,8.229
εὐχωλὴ,καύχησϊς,8.64 
εὐχωλῆς,εὐχῆς,1.65
εὐχωλῆς,εὐχῆς,1.93 
ἑῶν,ἑαυτοῦ,24.211 
ζῶμα,,23.683
ἤδη,ἤδη,1.250
ἤδη,ἤδη,1.260
ἤδη,ἤδη,1.456
ἤδη,ποτέ,1.590
ἤδη,τϊνὰ τῶν ὑπερεχόντων,8.236
ἤδη,ἀρτίως,15.110
ἤδη,ἤδη,15.139
ἤδη,ἄρτι,15.222
ἤδη,ἤδη,15.613
ἤδη,ἀπάρτι,24.131
ἤδη,ἀπάρτι,24.383
ἤδη,ἤδη,24.408
ἤδη,ἤδη,24.635
ἤδη,ἀπάρτι,24.765 
ἦδος,εὐωχίας,1.576
ἤϊε,τοξικὲ,15.365
ἤκιστος,,23.531
ἠλάστεον,ἐδεινοπάθουν,15.21 
ἦμαρ,ἡμέραν,1.591
ἦμαρ,ἡμέραν,1.601
ἦμαρ,ἡμέρα,8.66
ἦμαρ,ἡμεμοιραμένη,8.72
ἦμαρ,ἡμείαν ?,15.375
ἦμαρ,εἱμαρμένην ἡμεισον,15.613
ἦμαρ,ἡμέραν,15.719
ἦμαρ,μεθημέραν,24.73
ἦμαρ,δϊ' ὅλης ἡμέρας,24.713
ἤματα,ἡμέρας,8.539
ἤματα,ἡμέρας,24.491
ἤματα,ἡμέρας,24.745
ἤματι,ἡμέρα,8.475
ἤματι,ἡμέρα,15.76
ἤματι,ἡμερᾳ,15.252 
